class_id,precision,recall,f1-score,support
accipiter_gentilis,0.5416666666666666,0.5909090909090909,0.5652173913043478,22.0
alcedo_atthis,0.9375,0.8823529411764706,0.9090909090909091,17.0
anas_platyrhynchos,0.7333333333333333,0.6470588235294118,0.6875,17.0
athene_noctua,0.8,0.6666666666666666,0.7272727272727273,18.0
buteo_japonicus,0.6086956521739131,0.7777777777777778,0.6829268292682927,18.0
capreolus_capreolus,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
caprimulgus_jotaka,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
cettia_diphone,0.6875,0.6111111111111112,0.6470588235294118,18.0
ciconia_boyciana,0.6190476190476191,0.7222222222222222,0.6666666666666666,18.0
columba_livia,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
corvus_corone,0.6153846153846154,0.9411764705882353,0.7441860465116279,17.0
egretta_garzetta,0.7777777777777778,0.8235294117647058,0.8,17.0
emberiza_schoeniclus,0.75,0.7058823529411765,0.7272727272727273,17.0
falco_tinnunculus,0.8333333333333334,0.625,0.7142857142857143,24.0
grus_japonensis,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
hydropotes_inermis,0.7307692307692307,0.8260869565217391,0.7755102040816326,23.0
hydroprogne_caspia,0.75,0.8823529411764706,0.8108108108108109,17.0
melanitta_fusca,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0
motacilla_alba,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.0
nycticorax_nycticorax,0.9090909090909091,0.5555555555555556,0.6896551724137931,18.0
parus_minor,0.6,0.8333333333333334,0.6976744186046512,18.0
passer_montanus,0.8,0.6666666666666666,0.7272727272727273,24.0
phalacrocorax_carbo,0.6666666666666666,0.5882352941176471,0.625,17.0
pica_pica,0.875,0.7777777777777778,0.8235294117647058,18.0
pica_serica,0.65,0.7647058823529411,0.7027027027027027,17.0
streptopelia_orientalis,0.7333333333333333,0.6111111111111112,0.6666666666666666,18.0
tachybaptus_ruficollis,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
turdus_naumanni,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
zosterops_japonicus,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0
macro avg,0.7591711525769679,0.7483733464309353,0.7465061832125046,543.0
weighted avg,0.7609370486191799,0.7476979742173112,0.7471615664446434,543.0
